uniprot.id	protein.names	Protein.IDs	Gene.names.SINGLE	logP	q.value
D6RAU2	Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed	D6RAU2;E9PD14;D6RFZ9;D6RHH4;J3KPE3;P63244;D6RDI0;D6RGK8;D6RHJ5;D6R909;D6RBD0;D6RFX4;H0YAF8;D6R9Z1;D6RAC2;H0Y8W2;D6R9L0;D6REE5	GNB2L1	6.144857348	1.63e-05
D6RBX5	Secretoglobin family 3A member 2	D6RBX5;Q96PL1	SCGB3A2	3.392171953	0.002381093
D6RCK3	MOB kinase activator 1A;MOB kinase activator 1B	D6RCK3;Q9H8S9-2;Q9H8S9;Q7L9L4;Q7L9L4-2	MOB1B	1.180061967	0.140531672
D6RCM8	Tumor necrosis factor alpha-induced protein 8	D6RCM8;O95379-3;O95379-2;O95379;O95379-4;E5RIJ3	TNFAIP8	4.76795108	0.000179603
D6RDG7	Sideroflexin-1	D6RDG7;S4R2X2;D6RFI0;Q9H9B4;D6RAE9	SFXN1	4.375985887	0.000379291
D6RDX7	Embigin	D6RDX7;Q6PCB8-2;Q6PCB8	EMB	1.313778938	0.109959072
H0Y9K1	Protein transport protein Sec31A	H0Y9K1;H0YAB3;D6RHZ5;H7BXG7;D6REX3;O94979-7;O94979-6;O94979-3;O94979-10;O94979-4;O94979-9;O94979-2;O94979;O94979-8	SEC31A	1.262063178	0.120577624
D6RFM5	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	D6RFM5;P31040;P31040-2;A0A087X1I3;P31040-3;H0Y8X1	SDHA	4.391045899	0.000371887
D6RIE3	Cytochrome c oxidase subunit 7A2, mitochondrial	D6RIE3;D6RGV5;H0UI06;P14406;D6R9C3	COX7A2	8.48003255	3.17e-07
E5RG25	Ubiquitin-conjugating enzyme E2 W	E5RG25;H3BMM0;Q96B02	UBE2W	1.874107151	0.039825532
E5RGS4	Prefoldin subunit 1	E5RGS4;O60925	PFDN1	0.438593788	0.501746906
E5RHP7	Carbonic anhydrase 1	E5RHP7;P00915;E5RH81;E5RIF9;E5RG43;E5RFE7;E5RGU8;E5RFL2;E5RJI8;H0YBE2;E5RII2;E5RG81;E5RJF6;E5RHS7	CA1	6.162431797	1.59e-05
E5RIW3	Tubulin-specific chaperone A	E5RIW3;E5RJD8;O75347;O75347-2;E5RIX8;E5RHG6	TBCA	7.321388528	1.99e-06
E5RK69	Annexin	E5RK69;H0YC77	ANXA6	2.356409932	0.016224565
E7EM64	COP9 signalosome complex subunit 6	E7EM64;Q7L5N1	COPS6	5.403150031	5.67e-05
E9PFW8	Sequestosome-1	E9PFW8;E7EMC7;Q13501-2;Q13501	SQSTM1	0.408939694	0.529197442
E7EMD0	NADPH--cytochrome P450 reductase	E7EMD0;H0Y4R2;P16435	POR	1.813841659	0.044475402
E7EMS6	Catechol O-methyltransferase	E7EMS6;E7EUU8;P21964-2;P21964;H7BZ45;F8WBW9	COMT	3.234773989	0.003187407
E7EV99	Alpha-adducin	E7EV99;E7ENY0;P35611-2;P35611-6;P35611;P35611-3;P35611-4;H0Y9H2;P35611-5;A0A0A0MSR2;D6RF25;H0YG19;D6RAH3;D6RJE2;H0YFD8	ADD1	2.951496499	0.005220942
E7EP60	Integrin alpha-4	E7EP60;P13612;P13612-2	ITGA4	2.752747475	0.007571354
E7EPB3	60S ribosomal protein L14	E7EPB3;P50914	RPL14	2.108302445	0.025523058
E7EPT4	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	E7EPT4;P19404	NDUFV2	1.317563974	0.10928778
E7EQB2	Lactotransferrin;Lactoferricin-H;Kaliocin-1;Lactoferroxin-A;Lactoferroxin-B;Lactoferroxin-C	E7EQB2;E7ER44;P02788;P02788-2;C9JCF5	LTF	4.769852171	0.000179603
E7EQG2	Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed	E7EQG2;Q14240;Q14240-2;E7EMV8;J3KSN7;J3KT04;J3KS93;E9PBH4;F8WE11;P38919;C9JUF0;I3L3H2	EIF4A2	0.586284276	0.396994947
E7EQW4		E7EQW4;H0Y8D8;H0Y8B8;E7EUM2	BRCA1	NA	NA
E7ER45	Maltase-glucoamylase, intestinal;Maltase;Glucoamylase	E7ER45;O43451;A0A0J9YVZ3;A0A0J9YX77;Q2M2H8;E7EW87	MGAM	7.524775265	1.55e-06
E7ERD7	Long-chain-fatty-acid--CoA ligase 6	E7ERD7;Q9UKU0-2;Q9UKU0-5;Q9UKU0-3;Q9UKU0;Q9UKU0-9;Q9UKU0-6;Q9UKU0-8;Q9UKU0-1;C9J8C7;Q9UKU0-7;C9JT10;C9JPA5;C9J4I1;C9JK59;C9J3Z0;Q9ULC5-4;Q9ULC5;Q9ULC5-3	ACSL6	5.287406538	7.17e-05
E7ERJ5	Glycophorin-B	E7ERJ5;P06028	GYPB	4.998988788	0.000114795
E7ETY4	Serine/threonine-protein kinase MARK2	E7ETY4;E9PC69;Q7KZI7-10;Q7KZI7-13;Q7KZI7-7;Q7KZI7-2;Q7KZI7-15;Q7KZI7-5;Q7KZI7-16;Q7KZI7-4;Q7KZI7-9;Q7KZI7-12;Q7KZI7-14;Q7KZI7-3;Q7KZI7-6;Q7KZI7-11;Q7KZI7-8;Q7KZI7	MARK2	2.056018901	0.028430379
E7EU96	Casein kinase II subunit alpha;Casein kinase II subunit alpha 3	E7EU96;P68400;Q8NEV1;P68400-2;A0A087WY74;V9GYA2;V9GY80	CSNK2A1	3.894857042	0.000935408
E7EX90	Dynactin subunit 1	E7EX90;Q14203-5;Q14203-2;Q14203-3;Q14203-4;Q14203-6;Q14203;Q6AWB1;E7EWF7	DCTN1	3.085170399	0.004146029
E9PBP6	Microsomal triglyceride transfer protein large subunit	E9PBP6;P55157	MTTP	9.37240342	6.44e-08
E9PC41	Interleukin-1 receptor-like 1	E9PC41;Q01638-3;Q01638-2;Q01638	IL1RL1	6.401796342	1e-05
Q5SR44	Complement receptor type 1	Q5SR44;E9PDY4;P17927;E9PQN4;H0YE06;A0A0C4DGF5;Q2VPA4-3;Q2VPA4	CR1	2.930575168	0.005422987
E9PEM5	Lipopolysaccharide-responsive and beige-like anchor protein	E9PEM5;P50851-2;P50851;H0YAC6	LRBA	1.82933426	0.043299974
E9PEX6	Dihydrolipoyl dehydrogenase;Dihydrolipoyl dehydrogenase, mitochondrial	E9PEX6;P09622-2;P09622;P09622-3	DLD	3.275566643	0.002961595
E9PHN6	Glutathione S-transferase Mu 2	E9PHN6;F6XZQ7;P28161-2;P28161;E9PLF1;E9PHN7;E9PGV1	GSTM2	2.185947211	0.02239169
E9PHR9	Phospholipid scramblase 4	E9PHR9;Q9NRQ2-2;Q9NRQ2	PLSCR4	3.046932543	0.004405584
E9PI04	Synembryn-A	E9PI04;Q9NPQ8-4;Q9NPQ8;Q9NPQ8-3	RIC8A	1.107708868	0.159665495
E9PIH6	EH domain-binding protein 1-like protein 1	E9PIH6;Q8N3D4;A0A0U1RQH4	EHBP1L1	0.632340321	0.370174252
E9PMI6	Methylosome subunit pICln	E9PMI6;E9PJF4;J3KN38;P54105	CLNS1A	NA	NA
E9PL09	40S ribosomal protein S3	E9PL09;P23396;P23396-2;F2Z2S8;H0YF32;H0YCJ7;H0YEU2;H0YES8;E9PQX2;E9PQ96;E9PSF4;E9PJH4;E9PK82;E9PPU1	RPS3	2.655146481	0.009220565
E9PN17	ATP synthase subunit g, mitochondrial	E9PN17;O75964	ATP5L	3.179021266	0.003485079
E9PN89		E9PN89	HSPA8	1.168792473	0.143129266
E9PNJ4	Stromal interaction molecule 1	E9PNJ4;G0XQ39;Q13586;Q13586-2;H0YDB2;H7C5K2;H7C5A5;A0A1X7SBY3;H0Y860;A0A1W2PRA1;Q9P246-3;Q9P246;Q9P246-2	STIM1	3.587751725	0.001668434
E9PNX9	Leupaxin	E9PNX9;O60711;O60711-2	LPXN	0.323536077	0.610390659
E9PNZ3		E9PNZ3;Q13574-7	DGKZ	10.25045666	1.14e-08
E9PQN9	Interferon-induced transmembrane protein 2;Interferon-induced transmembrane protein 1;Interferon-induced transmembrane protein 3	E9PQN9;Q01629;H7BYV1;E9PS44;P13164;Q01628	IFITM2	1.839501644	0.042502709
H0YD64	Solute carrier family 43 member 3	H0YD64;E9PS74;Q8NBI5;Q8NBI5-2	SLC43A3	1.97408941	0.033326718
F5GYD4	Adenosine deaminase	F5GYD4;F5GXW0;F5GWI4;P00813	ADA	2.294422057	0.018269951
F5H7V0	Armadillo repeat-containing protein 6	F5H7V0;F5GZP0;F5H3X1;F5H052;F5H2X2;F5H2K4;F5GWV0;F5H4P3;Q6NXE6-2;Q6NXE6	ARMC6	1.021940568	0.184572307
F5GX39	Transmembrane emp24 domain-containing protein 2	F5GX39;Q15363;E7EQ72	TMED2	1.327514872	0.107356759
F5GX51	Protein FAM65B	F5GX51;Q9Y4F9;F5H029;B7Z6U4;Q9Y4F9-2;H3BP45	FAM65B	1.913124758	0.037257255
F5GXB1	Rho-related GTP-binding protein RhoF	F5GXB1;Q9HBH0-2;Q9HBH0	RHOF	0.093727601	0.878211838
H3BRE2	IST1 homolog	H3BRE2;F5GXM3;H3BQF7;H3BMU1;H3BUI0;P53990-2;P53990-3;P53990;P53990-4;P53990-5;H3BPP6;J3KR23	IST1	2.15879827	0.023308396
F5GXX5	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	F5GXX5;P61803;F5H895;A0A0B4J239	DAD1	3.396768529	0.002363649
F5GY03	SPARC	F5GY03;P09486;E5RK62	SPARC	0.544715303	0.423399246
F5GYQ1	V-type proton ATPase subunit d 1	F5GYQ1;P61421;R4GN72;J3QL14;H3BQB4;H3BSG7;H3BQJ1	ATP6V0D1	3.007589572	0.004696728
F5GZS6	4F2 cell-surface antigen heavy chain	F5GZS6;J3KPF3;P08195-2;P08195-3;P08195;P08195-4;F5GZI0;H0YFS2;F5H0E2;H0YFX4;F5H867;F5GZR9	SLC3A2	2.571740936	0.01084817
F5H0M4	Lysophospholipid acyltransferase 5	F5H0M4;Q6P1A2-2;Q6P1A2	LPCAT3	1.362617657	0.101688366
F5H2F4	C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed	F5H2F4;P11586;V9GYY3	MTHFD1	1.174601473	0.141521158
F5H2N6	Uncharacterized protein KIAA1586	F5H2N6;Q9HCI6-2;Q9HCI6	KIAA1586	1.879920444	0.03962022
F5H442	Tumor susceptibility gene 101 protein	F5H442;Q99816	TSG101	4.758949731	0.00018231
F5H6I7	Atlastin-3	F5H6I7;Q6DD88;F5GWF8	ATL3	2.190318173	0.022251426
G3V1U5	Vesicle transport protein GOT1B	G3V1U5;F5H6U7;Q9Y3E0	GOLT1B	5.554314929	4.32e-05
J3KPD6	Non-specific protein-tyrosine kinase;Tyrosine-protein kinase HCK	J3KPD6;F6SF04;P08631-2;P08631;H0Y3C5;P08631-3;P08631-4	HCK	6.11189313	1.69e-05
F6XSS0	Blood group Rh(CE) polypeptide	F6XSS0;P18577;P18577-9;Q5VSJ8;E7EU00;P18577-8;P18577-7;P18577-11;P18577-2;P18577-5;P18577-6;E7EQ47;P18577-14;P18577-4;P18577-10	RHCE	3.588002311	0.001668434
F8VPD4	CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase	F8VPD4;P27708	CAD	2.798514235	0.006946154
F8VVM2	Phosphate carrier protein, mitochondrial	F8VVM2;Q00325-2;Q00325;F8VZL5;F8VWR4;F8VWQ0	SLC25A3	4.696495029	0.000204627
F8VWE0		F8VWE0	TSPAN31	2.428299843	0.014209612
F8VXF0	NUAK family SNF1-like kinase 1	F8VXF0;O60285	NUAK1	3.980532131	0.000803581
F8VY04	Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed	F8VY04;F8W1A4;P54819-6;P54819-5;P54819-2;P54819	AK2	7.318825204	1.99e-06
F8W7Q4	Protein FAM162A	F8W7Q4;Q96A26;E9PH05	FAM162A	3.646425713	0.00152803
F8W7T0	Testin	F8W7T0;Q9UGI8-2;Q9UGI8	TES	1.556028522	0.07159159
Q9NQC3	Reticulon;Reticulon-4	F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;H7C106;Q9NQC3-4;Q9NQC3-6;A0A0U1RQR6	RTN4	3.371878498	0.002473935
G3V3N0	Zinc finger and BTB domain-containing protein 1	G3V3N0;G3V2I8;G3V447;Q9Y2K1-2;Q9Y2K1	ZBTB1	8.824045563	1.71e-07
G3V2K7	Transmembrane emp24 domain-containing protein 10	G3V2K7;P49755	TMED10	5.898126833	2.42e-05
G3V3J9	Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	G3V3J9;G3V2N0;P59768;G3V2C9;G3V415	GNG2	2.147680907	0.023781133
G3V4E1	Diacylglycerol kinase;Diacylglycerol kinase alpha	G3V4E1;P23743-3;P23743	DGKA	3.704136217	0.001375168
G3XAL9	Solute carrier family 12 member 2	G3XAL9;P55011-3;P55011	SLC12A2	1.465644741	0.085260491
G3XAM7	Catenin alpha-1	G3XAM7;P35221;P35221-2;P35221-3;E5RGG4;E5RJ43;E5RGS1;A0A087WZL6;E5RGU3;E5RHJ5;E5RFG3;E5RFK9;E5RFM5;E5RJP7;E5RGD2;E5RJ41;E5RIB1;A0A0A0MTJ6;A0A0A0MRI5;P26232-4;P26232-6;P26232-3;P26232-2;P26232-5;P26232	CTNNA1	2.761106155	0.007462141
H0Y2M6	H(+)/Cl(-) exchange transporter 7	H0Y2M6;P51798-2;P51798;H3BNG8;I3L470	CLCN7	1.607492782	0.065442582
H0Y448	Cortactin-binding protein 2	H0Y448;Q8WZ74	CTTNBP2	1.047999471	0.176839612
H0Y704	Zinc finger protein 185	H0Y704;H7BZT5;O15231-5;O15231-4;O15231-7;O15231;O15231-3;O15231-8;O15231-6	ZNF185	0.582235953	0.398421544
H0Y784	Doublecortin domain-containing protein 2	H0Y784;Q9UHG0	DCDC2	7.546548062	1.52e-06
H0Y7P8	Vacuolar protein sorting-associated protein 13A	H0Y7P8;Q96RL7-4;Q96RL7-2;Q96RL7-3;Q96RL7	VPS13A	2.887404515	0.005885198
H0Y870	Transmembrane protein 222	H0Y870;H0Y861;Q8TDQ4;Q5SSC2;Q9H0R3-2;Q9H0R3	TMEM222	4.406900619	0.000362196
H0Y8T0	N-alpha-acetyltransferase 11	H0Y8T0;Q9BSU3	NAA11	3.582959303	0.001680986
H0Y8X4	2-deoxynucleoside 5-phosphate N-hydrolase 1	H0Y8X4;O43598-2;O43598	DNPH1	1.762158607	0.049277706
H0YBC7	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	H0YBC7;O60238-2;O60238;F6RP06;A0A0J9YW18;Q12983	BNIP3L	5.448040901	5.23e-05
H0YDT6	Eukaryotic translation initiation factor 3 subunit F	H0YDT6;O00303	EIF3F	4.450627013	0.000334292
H0YI09	Methyltransferase-like protein 7A	H0YI09;Q9H8H3;F8VQX6	METTL7A	3.266530303	0.002996289
H0YJ97	Thyroid receptor-interacting protein 11	H0YJ97;Q15643	TRIP11	0.033416168	0.958804534
H0YLU7	Electron transfer flavoprotein subunit alpha, mitochondrial	H0YLU7;P13804-2;P13804;H0YK49;H0YNX6;H0YL12;H0YKF0;H0YL83;H0YM12	ETFA	6.122059384	1.68e-05
I3L1U2	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1	I3L1U2;H3BM90;Q8WZ19	KCTD13	1.03526919	0.181117753
H3BN02	Integrin alpha-X	H3BN02;P20702	ITGAX	3.470335761	0.002082967
H3BV16	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	H3BV16;H3BPJ9;O96000-2;O96000	NDUFB10	2.131360863	0.02446732
H3BRG4	Cytochrome b-c1 complex subunit 2, mitochondrial	H3BRG4;P22695;H3BSJ9;H3BP04;H3BUE4;H3BUI9;A0A087WVZ4	UQCRC2	4.601112853	0.000247959
H3BS70	Enoyl-CoA delta isomerase 1, mitochondrial	H3BS70;Q96DC0;P42126-2;P42126	ECI1	4.724470337	0.000194029
H3BSM5	Gamma-aminobutyric acid receptor-associated protein-like 2	H3BSM5;P60520;H3BU36;H3BQ50	GABARAPL2	2.206067712	0.021540535
H7BXD5	Grancalcin	H7BXD5;P28676;H7C2Z6;C9JIZ3;C9JWQ8;C9JV47	GCA	13.35527547	4.02e-11
H7BXY5	Nexilin	H7BXY5;Q0ZGT2-4;Q0ZGT2-3;Q0ZGT2-2;Q0ZGT2	NEXN	2.684768422	0.008690677
H7C580	Integrin beta;Integrin beta-5	H7C580;V9GYZ1;V9GZ57;P18084	ITGB5	2.953933057	0.005218494
I3L4V0	N-alpha-acetyltransferase 38, NatC auxiliary subunit	I3L4V0;I3L3Z2;Q9BRA0;Q9BRA0-2	NAA38	6.797343855	4.76e-06
J3KMX3	Alpha-fetoprotein	J3KMX3;P02771	AFP	5.510579236	4.68e-05
J3KNB4	Cathelicidin antimicrobial peptide;Antibacterial protein FALL-39;Antibacterial protein LL-37	J3KNB4;P49913	CAMP	3.921312884	0.000894555
J3KNF8	Cytochrome b5 type B	J3KNF8;O43169;H3BUX2;J3QR91;D6RFH4	CYB5B	1.890405947	0.038932071
J3KPX7	Prohibitin-2	J3KPX7;Q99623;F5GY37;Q99623-2;F5GWA7;F5H3X6;F5H0C5;F5H2D2;U3KPZ5	PHB2	8.179057012	4.95e-07
J3QKQ4	CMRF35-like molecule 8	J3QKQ4;Q9UGN4-4;Q9UGN4-2;Q9UGN4	CD300A	0.982914436	0.198956696
J3QLT8		J3QLT8	DCC	2.510989913	0.012074442
J3QQJ5		J3QQJ5	TRAPPC8	2.839399159	0.006413114
J3QQM1	26S protease regulatory subunit 8	J3QQM1;P62195-2;P62195;J3QSA9;J3QRW1;J3QLH6;J3KRP2;J3QRR3;J3QSE0;Q8NB90-3;Q8NB90-2;Q8NB90	PSMC5	0.969551625	0.20325205
K7EJ57	Mitochondrial import receptor subunit TOM40 homolog	K7EJ57;O96008-2;O96008;K7EKG4	TOMM40	1.919507392	0.036837113
K7EJE8	Lon protease homolog, mitochondrial	K7EJE8;K7EKE6;P36776-3;P36776-2;P36776;K7ER56;K7ER27;K7ERR6	LONP1	2.542151161	0.011385342
K7EP07	Tubulin-folding cofactor B	K7EP07;K7EK42;Q99426-2;Q99426	TBCB	0.289642357	0.639763592
K7EKE5	Tubulin gamma-2 chain;Tubulin gamma-1 chain	K7EKE5;Q9NRH3;P23258	TUBG1	1.604792612	0.065659582
K7EMG3	E3 ubiquitin-protein ligase RNF152	K7EMG3;Q8N8N0	RNF152	NA	NA
K7ENI6	Transmembrane protein 256	K7ENI6;K7ERE1;Q8N2U0	TMEM256	2.386456908	0.015357626
K7EPY7		K7EPY7	TRPV2	0.668341663	0.348939601
K7ERZ3	Perilipin-3	K7ERZ3;O60664-2;O60664-4;O60664-3;O60664	PLIN3	1.946488386	0.035149888
K7ES74	Glutaryl-CoA dehydrogenase, mitochondrial	K7ES74;Q92947-2;Q92947;K7EKH1;K7EKT3;K7ERX1	GCDH	2.358859308	0.016166043
M0QXB4	Coatomer subunit epsilon	M0QXB4;O14579-3;O14579;M0R061;O14579-2	COPE	2.179240419	0.022527642
M0QZR4	Rho guanine nucleotide exchange factor 1	M0QZR4;Q92888;Q92888-3;Q92888-2;Q92888-4;M0QYC1;M0QYS3;M0R3H5;M0QZH8;M0R2C7	ARHGEF1	1.693875884	0.056173337
M0QZT2	Platelet-activating factor acetylhydrolase IB subunit gamma	M0QZT2;M0R389;Q15102;M0QXS6;M0R323;M0R1K3	PAFAH1B3	2.179989896	0.022527642
M0R0C1	Glia maturation factor gamma	M0R0C1;O60234;M0QYG8;M0R1D2;M0QYJ8;M0QX47;M0QXC2	GMFG	1.507702156	0.079012311
M0R2S2	Epidermal growth factor receptor substrate 15-like 1	M0R2S2;M0R165;Q9UBC2-4;Q9UBC2-3;Q9UBC2;Q9UBC2-2	EPS15L1	3.437190952	0.002185606
O00160	Unconventional myosin-If	O00160;Q12965;M0QXU2;M0QY89;H0YLE5	MYO1F	7.854788501	8.77e-07
O00232-2	26S proteasome non-ATPase regulatory subunit 12	O00232-2;O00232	PSMD12	3.314715083	0.002739927
O00429-3	Dynamin-1-like protein	O00429-3;O00429;O00429-6;G8JLD5;O00429-4;O00429-5;O00429-2;O00429-8;O00429-7;F8VZ52;B4DPZ9;F8VUJ9;F8W1W3;B4DDQ3;F8VR28;F8VYL3;H0YHY4	DNM1L	1.758544511	0.049611854
O00483	Cytochrome c oxidase subunit NDUFA4	O00483	NDUFA4	3.568245415	0.001708724
O00602	Ficolin-1	O00602;A0A087WVE2	FCN1	1.428730905	0.091079947
O14744-3	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	O14744-3;O14744-5;O14744-2;O14744;H0YJX6;O14744-4;G3V5T6;H0YJ77;G3V5L5;H0YJD3;G3V580;G3V2L6;G3V2X6	PRMT5	2.470721889	0.013078777
O14773-2	Tripeptidyl-peptidase 1	O14773-2;O14773	TPP1	5.748741222	3.18e-05
O14791-3	Apolipoprotein L1	O14791-3;O14791;O14791-2;B1AH96	APOL1	3.327359382	0.002677938
O14828	Secretory carrier-associated membrane protein 3	O14828;O14828-2	SCAMP3	3.217404082	0.003285236
Q5VV89	Microsomal glutathione S-transferase 3	Q5VV89;O14880;Q5VV87	MGST3	3.871405072	0.000971638
O14964-2	Hepatocyte growth factor-regulated tyrosine kinase substrate	O14964-2;O14964;I3L1P5;I3L2H4;I3L165	HGS	2.281391046	0.018752328
O14976-2	Cyclin-G-associated kinase	O14976-2;O14976	GAK	3.498224471	0.001973412
O15031	Plexin-B2	O15031;A6QRG9	PLXNB2	0.96849318	0.203536215
O15173	Membrane-associated progesterone receptor component 2	O15173;O15173-2;U3KQM0	PGRMC2	3.234428125	0.003187407
Q5T8U5	Surfeit locus protein 4	Q5T8U5;O15260-2;O15260;B7Z1G8;O15260-3	SURF4	2.349204648	0.016393021
O15389	Sialic acid-binding Ig-like lectin 5;Sialic acid-binding Ig-like lectin 14	O15389;Q08ET2	SIGLEC5	5.554651128	4.32e-05
O15400-2	Syntaxin-7	O15400-2;O15400	STX7	2.913077584	0.005603274
O15427	Monocarboxylate transporter 4	O15427;J3QQV2;J3QSC3;J3QQS9;J3QLE3;J3KTM6;J3QRU2;J3KT83;J3QRA0;J3KTI8;J3QRP8	SLC16A3	3.279425292	0.00294443
O15431	High affinity copper uptake protein 1	O15431	SLC31A1	1.403165914	0.095449286
O15439-2	Multidrug resistance-associated protein 4	O15439-2;O15439;O15439-4;O15439-3	ABCC4	6.669924219	5.9e-06
O43182-4	Rho GTPase-activating protein 6	O43182-4;O43182;H7BYE6;O43182-5;O43182-2;O43182-3	ARHGAP6	3.271054667	0.002974277
O43294	Transforming growth factor beta-1-induced transcript 1 protein	O43294;O43294-2;H3BQC4;H3BSN4;I3L209;H3BS04;H3BN49	TGFB1I1	0.139427246	0.815394326
O43306-2	Adenylate cyclase type 6	O43306-2;O43306;C9JRT8;B3KWA8;O95622-2;O95622	ADCY6	3.284997394	0.002915866
O43516-2	WAS/WASL-interacting protein family member 1	O43516-2;O43516;O43516-3;E9PB87;O43516-4	WIPF1	2.264911112	0.019325417
O43678	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	O43678;O43678-2	NDUFA2	4.211768828	0.000520119
O43752	Syntaxin-6	O43752;O43752-2	STX6	5.147550464	8.92e-05
O43852	Calumenin	O43852;O43852-3;O43852-5;O43852-2;O43852-4;O43852-9;H0Y875;O43852-13;O43852-14;O43852-15;O43852-11;O43852-10;O43852-6;O43852-12;O43852-7;O43852-8	CALU	4.288955077	0.000450082
O60262	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	O60262	GNG7	0.609732684	0.382506095
O60603	Toll-like receptor 2	O60603	TLR2	3.570284374	0.001706647
O60658-6	High affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8A	O60658-6;O60658-2;O60658	PDE8A	5.216555679	8.07e-05
O60669	Monocarboxylate transporter 2	O60669	SLC16A7	0.352656004	0.579535087
O60861-1	Growth arrest-specific protein 7	O60861-1;O60861-4;O60861;O60861-2;J3QLH8;J3KTB1;J3QS26;J3KS47;A0A0A0MS68	GAS7	1.554921584	0.071672921
O75306-2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	O75306-2;O75306	NDUFS2	0.710165675	0.326523713
O75323-2	Protein NipSnap homolog 2	O75323-2;O75323	GBAS	1.39029352	0.09716098
O75369-6	Filamin-B	O75369-6;O75369-3;O75369-2;O75369-9;O75369;O75369-8;O75369-5;O75369-4;E7EN95;O75369-7	FLNB	6.017846403	1.99e-05
O75387	Large neutral amino acids transporter small subunit 3	O75387;O75387-2;E9PJ68	SLC43A1	6.806233089	4.74e-06
O75396	Vesicle-trafficking protein SEC22b	O75396;A0A087X1A9	SEC22B	2.474060383	0.013006238
O75427	Leucine-rich repeat and calponin homology domain-containing protein 4	O75427	LRCH4	6.469529118	8.7e-06
O75489	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	O75489;E9PS48;O75489-2	NDUFS3	4.733939172	0.000191434
O75629	Protein CREG1	O75629	CREG1	4.974715836	0.000120635
O75844	CAAX prenyl protease 1 homolog	O75844	ZMPSTE24	5.244502878	7.8e-05
O75915	PRA1 family protein 3	O75915;F8WF90;C9JQU6;F8WF33	ARL6IP5	2.173951505	0.02259252
O75923-3	Dysferlin	O75923-3;O75923-9;O75923;O75923-14;O75923-6;O75923-12;O75923-5;O75923-11;O75923-4;O75923-10;O75923-2;O75923-8;O75923-7;O75923-13;O75923-15	DYSF	2.033172181	0.029546202
O75947	ATP synthase subunit d, mitochondrial	O75947;O75947-2;F5H608	ATP5H	6.939648185	3.87e-06
O75995	SAM and SH3 domain-containing protein 3	O75995	SASH3	4.033502269	0.00073616
O94804	Serine/threonine-protein kinase 10	O94804;H0YB71	STK10	0.637882735	0.367080325
O94919	Endonuclease domain-containing 1 protein	O94919	ENDOD1	3.315667429	0.002739927
S4R3I5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	S4R3I5;Q6FGG4;O95167	NDUFA3	3.57515873	0.0016935
O95202	LETM1 and EF-hand domain-containing protein 1, mitochondrial	O95202	LETM1	2.152186838	0.02362236
O95239	Chromosome-associated kinesin KIF4A;Chromosome-associated kinesin KIF4B	O95239;O95239-2;Q2VIQ3	KIF4A	6.040935748	1.93e-05
O95292	Vesicle-associated membrane protein-associated protein B/C	O95292;E5RK64;O95292-2	VAPB	4.952051045	0.000126309
O95373	Importin-7	O95373	IPO7	5.143510661	8.92e-05
O95445	Apolipoprotein M	O95445;Q5SRP5;O95445-2	APOM	1.790274479	0.046626386
O95466-2	Formin-like protein 1	O95466-2;O95466;O95466-3;K7EK60;A0A0A0MR62;K7EJE6;K7EMY8;K7ERL1	FMNL1	2.675819093	0.008851179
O95497	Pantetheinase	O95497;Q9NY84-5;Q9NY84-2;Q9NY84	VNN1	5.685560752	3.58e-05
O95498	Vascular non-inflammatory molecule 2	O95498;O95498-6;O95498-2;J3KQ55;J3QT03;E9PL76;B4DQB2;J3KQQ7;O95498-3;O95498-4;E9PRD9;E9PQ75;E9PLK5;O95498-5;E9PK31	VNN2	6.519871875	7.97e-06
