Protein IDs	protein names	Gene names SINGLE	ENSG	ENSP	logP	q-value
E5RGS4;O60925	Prefoldin subunit 1	PFDN1	ENSG00000113068	ENSP00000261813;ENSP00000426383;ENSP00000428707	0.438593788	0.501746906
E5RHP7;P00915;E5RH81;E5RIF9;E5RG43;E5RFE7;E5RGU8;E5RFL2;E5RJI8;H0YBE2;E5RII2;E5RG81;E5RJF6;E5RHS7	Carbonic anhydrase 1	CA1	ENSG00000133742	ENSP00000392338;ENSP00000427773;ENSP00000427852;ENSP00000428923;ENSP00000429300;ENSP00000429688;ENSP00000429798;ENSP00000429843;ENSP00000430372;ENSP00000430471;ENSP00000430543;ENSP00000430571;ENSP00000430656;ENSP00000430710;ENSP00000430737;ENSP00000430861;ENSP00000430975;ENSP00000443517;ENSP00000486171	6.162431797	1.59E-05
E5RIW3;E5RJD8;O75347;O75347-2;E5RIX8;E5RHG6	Tubulin-specific chaperone A	TBCA	ENSG00000171530	ENSP00000306362;ENSP00000369736;ENSP00000429046;ENSP00000429083;ENSP00000429288;ENSP00000429313;ENSP00000429793	7.321388528	1.99E-06
E5RK69;H0YC77	Annexin	ANXA6	ENSG00000197043	ENSP00000346550;ENSP00000366980;ENSP00000428916;ENSP00000430420;ENSP00000430429;ENSP00000430517;ENSP00000430572;ENSP00000430663;ENSP00000430826;ENSP00000431078;ENSP00000431086	2.356409932	0.016224565
E7EM64;Q7L5N1	COP9 signalosome complex subunit 6	COPS6	ENSG00000168090	ENSP00000304102;ENSP00000388865;ENSP00000400617;ENSP00000413702	5.403150031	5.67E-05
E9PFW8;E7EMC7;Q13501-2;Q13501	Sequestosome-1	SQSTM1	ENSG00000161011	ENSP00000353944;ENSP00000374455;ENSP00000394534;ENSP00000405061;ENSP00000424195;ENSP00000424477;ENSP00000425957;ENSP00000427308;ENSP00000487071	0.408939694	0.529197442
E7EMD0;H0Y4R2;P16435	NADPH--cytochrome P450 reductase	POR	ENSG00000127948	ENSP00000378355;ENSP00000389409;ENSP00000389719;ENSP00000390540;ENSP00000393527;ENSP00000395813;ENSP00000399327;ENSP00000399409;ENSP00000399556;ENSP00000400964;ENSP00000403494;ENSP00000404731;ENSP00000409238;ENSP00000409881;ENSP00000412490;ENSP00000414263;ENSP00000419970	1.813841659	0.044475402
E7EMS6;E7EUU8;P21964-2;P21964;H7BZ45;F8WBW9	Catechol O-methyltransferase	COMT	ENSG00000093010	ENSP00000207636;ENSP00000354511;ENSP00000383966;ENSP00000384654;ENSP00000385150;ENSP00000385917;ENSP00000387695;ENSP00000403958;ENSP00000416778	3.234773989	0.003187407
E7EV99;E7ENY0;P35611-2;P35611-6;P35611;P35611-3;P35611-4;H0Y9H2;P35611-5;A0A0A0MSR2;D6RF25;H0YG19;D6RAH3;D6RJE2;H0YFD8	Alpha-adducin	ADD1	ENSG00000087274	ENSP00000264758;ENSP00000348100;ENSP00000381191;ENSP00000381193;ENSP00000381197;ENSP00000399828;ENSP00000421907;ENSP00000421918;ENSP00000423024;ENSP00000424143;ENSP00000425703;ENSP00000426700;ENSP00000438069;ENSP00000441388	2.951496499	0.005220942
E7EP60;P13612;P13612-2	Integrin alpha-4	ITGA4	ENSG00000115232	ENSP00000233573;ENSP00000340149;ENSP00000380227	2.752747475	0.007571354
E7EPB3;P50914	60S ribosomal protein L14	RPL14	ENSG00000188846	ENSP00000345156;ENSP00000379506;ENSP00000391446;ENSP00000402476	2.108302445	0.025523058
E7EPT4;P19404	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	NDUFV2	ENSG00000178127	ENSP00000327268;ENSP00000382908;ENSP00000461911;ENSP00000464504	1.317563974	0.10928778
E7EQB2;E7ER44;P02788;P02788-2;C9JCF5	Lactotransferrin;Lactoferricin-H;Kaliocin-1;Lactoferroxin-A;Lactoferroxin-B;Lactoferroxin-C	LTF	ENSG00000012223	ENSP00000231751;ENSP00000395234;ENSP00000397427;ENSP00000405546;ENSP00000405719	4.769852171	0.000179603
E7EQG2;Q14240;Q14240-2;E7EMV8;J3KSN7;J3KT04;J3KS93;E9PBH4;F8WE11;P38919;C9JUF0;I3L3H2	Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed	EIF4A2	ENSG00000156976;ENSG00000161960;ENSG00000141543	ENSP00000326381;ENSP00000388237;ENSP00000392686;ENSP00000398370;ENSP00000402313;ENSP00000407504;ENSP00000413529;ENSP00000415878;ENSP00000462571;ENSP00000293831;ENSP00000461921;ENSP00000462275;ENSP00000462372;ENSP00000462581;ENSP00000462719;ENSP00000462741;ENSP00000462753;ENSP00000462904;ENSP00000463067;ENSP00000463309;ENSP00000463366;ENSP00000463380;ENSP00000463486;ENSP00000463634;ENSP00000463821;ENSP00000464066;ENSP00000464082;ENSP00000464320;ENSP00000464550;ENSP00000269349;ENSP00000460439	0.586284276	0.396994947
E7EQW4;H0Y8D8;H0Y8B8;E7EUM2		BRCA1	ENSG00000012048	ENSP00000312236;ENSP00000326002;ENSP00000350283;ENSP00000397145;ENSP00000417148;ENSP00000417241;ENSP00000417554;ENSP00000417988;ENSP00000418212;ENSP00000418548;ENSP00000418775;ENSP00000418819;ENSP00000418960;ENSP00000418986;ENSP00000419103;ENSP00000419274;ENSP00000419481;ENSP00000419988;ENSP00000420201;ENSP00000420253;ENSP00000420412;ENSP00000420705;ENSP00000420781;ENSP00000465347;ENSP00000465818;ENSP00000467329;ENSP00000478114	NaN	NaN
E7ER45;O43451;A0A0J9YVZ3;A0A0J9YX77;Q2M2H8;E7EW87	Maltase-glucoamylase, intestinal;Maltase;Glucoamylase	MGAM	ENSG00000257335	ENSP00000417103;ENSP00000417515;ENSP00000419372;ENSP00000447378;ENSP00000482292	7.524775265	1.55E-06
E7ERD7;Q9UKU0-2;Q9UKU0-5;Q9UKU0-3;Q9UKU0;Q9UKU0-9;Q9UKU0-6;Q9UKU0-8;Q9UKU0-1;C9J8C7;Q9UKU0-7;C9JT10;C9JPA5;C9J4I1;C9JK59;C9J3Z0;Q9ULC5-4;Q9ULC5;Q9ULC5-3	Long-chain-fatty-acid--CoA ligase 6	ACSL6	ENSG00000197142;ENSG00000164398	ENSP00000346223;ENSP00000346680;ENSP00000348429;ENSP00000376796;ENSP00000403647;ENSP00000296869;ENSP00000349608;ENSP00000368542;ENSP00000368546;ENSP00000368548;ENSP00000368557;ENSP00000368566;ENSP00000388424;ENSP00000389189;ENSP00000394810;ENSP00000397507;ENSP00000398381;ENSP00000398423;ENSP00000413329;ENSP00000415140;ENSP00000442124	5.287406538	7.17E-05
E7ERJ5;P06028	Glycophorin-B	GYPB	ENSG00000250361	ENSP00000394200;ENSP00000421974;ENSP00000422726;ENSP00000423025;ENSP00000423055;ENSP00000424025;ENSP00000425244;ENSP00000427690	4.998988788	0.000114795
E7ETY4;E9PC69;Q7KZI7-10;Q7KZI7-13;Q7KZI7-7;Q7KZI7-2;Q7KZI7-15;Q7KZI7-5;Q7KZI7-16;Q7KZI7-4;Q7KZI7-9;Q7KZI7-12;Q7KZI7-14;Q7KZI7-3;Q7KZI7-6;Q7KZI7-11;Q7KZI7-8;Q7KZI7	Serine/threonine-protein kinase MARK2	MARK2	ENSG00000072518	ENSP00000294247;ENSP00000355091;ENSP00000367041;ENSP00000385751;ENSP00000386128;ENSP00000415494;ENSP00000421075;ENSP00000423452;ENSP00000423844;ENSP00000423974;ENSP00000425765;ENSP00000437509;ENSP00000444859;ENSP00000444956	2.056018901	0.028430379
E7EU96;P68400;Q8NEV1;P68400-2;A0A087WY74;V9GYA2;V9GY80	Casein kinase II subunit alpha;Casein kinase II subunit alpha 3	CSNK2A1	ENSG00000254598;ENSG00000101266	ENSP00000473553;ENSP00000217244;ENSP00000339247;ENSP00000383076;ENSP00000383086;ENSP00000476486;ENSP00000476547;ENSP00000477147;ENSP00000479630;ENSP00000481572	3.894857042	0.000935408
E7EX90;Q14203-5;Q14203-2;Q14203-3;Q14203-4;Q14203-6;Q14203;Q6AWB1;E7EWF7	Dynactin subunit 1	DCTN1	ENSG00000204843;ENSG00000264324	ENSP00000354791;ENSP00000377571;ENSP00000386406;ENSP00000386843;ENSP00000387270;ENSP00000387327;ENSP00000395312;ENSP00000400059;ENSP00000402509;ENSP00000404038;ENSP00000407484;ENSP00000409363;ENSP00000413268;ENSP00000414315;ENSP00000416711;ENSP00000487279;ENSP00000416453	3.085170399	0.004146029
E9PBP6;P55157	Microsomal triglyceride transfer protein large subunit	MTTP	ENSG00000138823	ENSP00000265517;ENSP00000400821;ENSP00000407350;ENSP00000422178;ENSP00000422667;ENSP00000422782;ENSP00000424972;ENSP00000425642;ENSP00000425987;ENSP00000426755;ENSP00000427679;ENSP00000482850	9.37240342	6.44E-08
E9PC41;Q01638-3;Q01638-2;Q01638	Interleukin-1 receptor-like 1	IL1RL1	ENSG00000115602	ENSP00000233954;ENSP00000310371;ENSP00000384822;ENSP00000386618;ENSP00000391120;ENSP00000409437	6.401796342	1.00E-05
Q5SR44;E9PDY4;P17927;E9PQN4;H0YE06;A0A0C4DGF5;Q2VPA4-3;Q2VPA4	Complement receptor type 1	CR1	ENSG00000197721;ENSG00000203710	ENSP00000421736;ENSP00000434864;ENSP00000356016;ENSP00000356018;ENSP00000356019;ENSP00000356020;ENSP00000383744;ENSP00000434718;ENSP00000436139	2.930575168	0.005422987
E9PEM5;P50851-2;P50851;H0YAC6	Lipopolysaccharide-responsive and beige-like anchor protein	LRBA	ENSG00000198589	ENSP00000349629;ENSP00000421552;ENSP00000422180;ENSP00000424640;ENSP00000425852;ENSP00000426669	1.82933426	0.043299974
E9PEX6;P09622-2;P09622;P09622-3	Dihydrolipoyl dehydrogenase;Dihydrolipoyl dehydrogenase, mitochondrial	DLD	ENSG00000091140	ENSP00000205402;ENSP00000387542;ENSP00000388077;ENSP00000390667;ENSP00000402593;ENSP00000409590;ENSP00000417016	3.275566643	0.002961595
E9PHN6;F6XZQ7;P28161-2;P28161;E9PLF1;E9PHN7;E9PGV1	Glutathione S-transferase Mu 2	GSTM2	ENSG00000213366	ENSP00000241337;ENSP00000358842;ENSP00000358844;ENSP00000358846;ENSP00000404662;ENSP00000416883;ENSP00000435157;ENSP00000435910	2.185947211	0.02239169
E9PHR9;Q9NRQ2-2;Q9NRQ2	Phospholipid scramblase 4	PLSCR4	ENSG00000114698	ENSP00000347038;ENSP00000372561;ENSP00000399315;ENSP00000415605;ENSP00000417248;ENSP00000417896;ENSP00000418173;ENSP00000418419;ENSP00000419040;ENSP00000420385	3.046932543	0.004405584
E9PI04;Q9NPQ8-4;Q9NPQ8;Q9NPQ8-3	Synembryn-A	RIC8A	ENSG00000177963	ENSP00000325941;ENSP00000431163;ENSP00000432008;ENSP00000433009;ENSP00000433968;ENSP00000434833;ENSP00000434896;ENSP00000435167;ENSP00000436192;ENSP00000436610;ENSP00000487470	1.107708868	0.159665495
E9PIH6;Q8N3D4;A0A0U1RQH4	EH domain-binding protein 1-like protein 1	EHBP1L1	ENSG00000173442	ENSP00000312671;ENSP00000431996;ENSP00000434693;ENSP00000435843	0.632340321	0.370174252
E9PMI6;E9PJF4;J3KN38;P54105	Methylosome subunit pICln	CLNS1A	ENSG00000074201	ENSP00000263309;ENSP00000432570;ENSP00000433741;ENSP00000433919;ENSP00000434311;ENSP00000434963;ENSP00000436245;ENSP00000475218	NaN	NaN
E9PL09;P23396;P23396-2;F2Z2S8;H0YF32;H0YCJ7;H0YEU2;H0YES8;E9PQX2;E9PQ96;E9PSF4;E9PJH4;E9PK82;E9PPU1	40S ribosomal protein S3	RPS3	ENSG00000149273	ENSP00000278572;ENSP00000416745;ENSP00000431737;ENSP00000431834;ENSP00000432458;ENSP00000432542;ENSP00000433155;ENSP00000433421;ENSP00000433821;ENSP00000434643;ENSP00000435457;ENSP00000435566;ENSP00000436335;ENSP00000436476;ENSP00000436556;ENSP00000436971;ENSP00000437105	2.655146481	0.009220565
E9PN17;O75964	ATP synthase subunit g, mitochondrial	ATP5L	ENSG00000167283	ENSP00000300688;ENSP00000434865	3.179021266	0.003485079
E9PN89		HSPA8	ENSG00000109971	ENSP00000227378;ENSP00000404372;ENSP00000431641;ENSP00000432083;ENSP00000432884;ENSP00000433316;ENSP00000433584;ENSP00000434415;ENSP00000434565;ENSP00000434851;ENSP00000435019;ENSP00000435154;ENSP00000435908;ENSP00000436183;ENSP00000436762;ENSP00000437125;ENSP00000437189	1.168792473	0.143129266
E9PNJ4;G0XQ39;Q13586;Q13586-2;H0YDB2;H7C5K2;H7C5A5;A0A1X7SBY3;H0Y860;A0A1W2PRA1;Q9P246-3;Q9P246;Q9P246-2	Stromal interaction molecule 1	STIM1	ENSG00000167323;ENSG00000109689	ENSP00000300737;ENSP00000431191;ENSP00000431878;ENSP00000432210;ENSP00000432378;ENSP00000432383;ENSP00000433266;ENSP00000433949;ENSP00000434200;ENSP00000434767;ENSP00000434848;ENSP00000436208;ENSP00000478059;ENSP00000404812;ENSP00000417569;ENSP00000419073;ENSP00000419383;ENSP00000419536;ENSP00000420113;ENSP00000473283;ENSP00000473527;ENSP00000473581	3.587751725	0.001668434
E9PNX9;O60711;O60711-2	Leupaxin	LPXN	ENSG00000110031	ENSP00000378512;ENSP00000431284;ENSP00000437094;ENSP00000461855	0.323536077	0.610390659
E9PNZ3;Q13574-7		DGKZ	ENSG00000149091	ENSP00000320340;ENSP00000343065;ENSP00000391021;ENSP00000395684;ENSP00000412178;ENSP00000434016;ENSP00000434719;ENSP00000435332;ENSP00000435435;ENSP00000435763;ENSP00000436273;ENSP00000436291;ENSP00000437060	10.25045666	1.14E-08
E9PQN9;Q01629;H7BYV1;E9PS44;P13164;Q01628	Interferon-induced transmembrane protein 2;Interferon-induced transmembrane protein 1;Interferon-induced transmembrane protein 3	IFITM2	ENSG00000185885;ENSG00000142089;ENSG00000185201	ENSP00000330825;ENSP00000386187;ENSP00000437057;ENSP00000382707;ENSP00000432108;ENSP00000473544;ENSP00000473645;ENSP00000382712;ENSP00000382714;ENSP00000431850;ENSP00000434443;ENSP00000473587;ENSP00000484689	1.839501644	0.042502709
H0YD64;E9PS74;Q8NBI5;Q8NBI5-2	Solute carrier family 43 member 3	SLC43A3	ENSG00000134802	ENSP00000337561;ENSP00000378555;ENSP00000378556;ENSP00000431367;ENSP00000431762;ENSP00000431765;ENSP00000433078;ENSP00000433393;ENSP00000433974;ENSP00000434293;ENSP00000434515;ENSP00000434569;ENSP00000434710;ENSP00000434913;ENSP00000435109;ENSP00000435156;ENSP00000435273;ENSP00000435490;ENSP00000435893;ENSP00000436055;ENSP00000436254	1.97408941	0.033326718
F5GYD4;F5GXW0;F5GWI4;P00813	Adenosine deaminase	ADA	ENSG00000196839	ENSP00000361965;ENSP00000440946;ENSP00000441818;ENSP00000446464	2.294422057	0.018269951
F5H7V0;F5GZP0;F5H3X1;F5H052;F5H2X2;F5H2K4;F5GWV0;F5H4P3;Q6NXE6-2;Q6NXE6	Armadillo repeat-containing protein 6	ARMC6	ENSG00000105676	ENSP00000269932;ENSP00000376147;ENSP00000376148;ENSP00000437580;ENSP00000438369;ENSP00000439003;ENSP00000439038;ENSP00000439269;ENSP00000441420;ENSP00000441948;ENSP00000442263;ENSP00000443719;ENSP00000444156;ENSP00000444265;ENSP00000444317;ENSP00000444341;ENSP00000444916;ENSP00000446037;ENSP00000446209;ENSP00000446234	1.021940568	0.184572307
F5GX39;Q15363;E7EQ72	Transmembrane emp24 domain-containing protein 2	TMED2	ENSG00000086598	ENSP00000262225;ENSP00000405845;ENSP00000441161	1.327514872	0.107356759
F5GX51;Q9Y4F9;F5H029;B7Z6U4;Q9Y4F9-2;H3BP45	Protein FAM65B	FAM65B	ENSG00000111913	ENSP00000259698;ENSP00000367262;ENSP00000438425;ENSP00000441138;ENSP00000441305;ENSP00000455145;ENSP00000477857;ENSP00000482957	1.913124758	0.037257255
F5GXB1;Q9HBH0-2;Q9HBH0	Rho-related GTP-binding protein RhoF	RHOF	ENSG00000139725	ENSP00000267205;ENSP00000440397;ENSP00000476444;ENSP00000476574;ENSP00000476987;ENSP00000477391	0.093727601	0.878211838
H3BRE2;F5GXM3;H3BQF7;H3BMU1;H3BUI0;P53990-2;P53990-3;P53990;P53990-4;P53990-5;H3BPP6;J3KR23	IST1 homolog	IST1	ENSG00000182149	ENSP00000330408;ENSP00000368075;ENSP00000368076;ENSP00000398505;ENSP00000410081;ENSP00000414942;ENSP00000438399;ENSP00000454541;ENSP00000455409;ENSP00000455590;ENSP00000455757;ENSP00000455805;ENSP00000455860;ENSP00000456200;ENSP00000457646;ENSP00000457844;ENSP00000463711;ENSP00000463833;ENSP00000475853;ENSP00000486751	2.15879827	0.023308396
F5GXX5;P61803;F5H895;A0A0B4J239	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	DAD1	ENSG00000129562	ENSP00000250498;ENSP00000440242;ENSP00000440821;ENSP00000442074	3.396768529	0.002363649
F5GY03;P09486;E5RK62	SPARC	SPARC	ENSG00000113140	ENSP00000231061;ENSP00000428119;ENSP00000429152;ENSP00000440127;ENSP00000444998	0.544715303	0.423399246
F5GYQ1;P61421;R4GN72;J3QL14;H3BQB4;H3BSG7;H3BQJ1	V-type proton ATPase subunit d 1	ATP6V0D1	ENSG00000159720	ENSP00000290949;ENSP00000393910;ENSP00000441282;ENSP00000455446;ENSP00000455695;ENSP00000455802;ENSP00000456695;ENSP00000457104;ENSP00000457105;ENSP00000457744;ENSP00000463328;ENSP00000473515	3.007589572	0.004696728
F5GZS6;J3KPF3;P08195-2;P08195-3;P08195;P08195-4;F5GZI0;H0YFS2;F5H0E2;H0YFX4;F5H867;F5GZR9	4F2 cell-surface antigen heavy chain	SLC3A2	ENSG00000168003	ENSP00000340815;ENSP00000367121;ENSP00000367122;ENSP00000367123;ENSP00000438032;ENSP00000438353;ENSP00000440001;ENSP00000440819;ENSP00000442135;ENSP00000444236;ENSP00000444250;ENSP00000444439;ENSP00000445858	2.571740936	0.01084817
F5H0M4;Q6P1A2-2;Q6P1A2	Lysophospholipid acyltransferase 5	LPCAT3	ENSG00000111684	ENSP00000261407;ENSP00000437827;ENSP00000438765;ENSP00000440550;ENSP00000442454;ENSP00000443166	1.362617657	0.101688366
F5H2F4;P11586;V9GYY3	C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed	MTHFD1	ENSG00000100714	ENSP00000216605;ENSP00000438588;ENSP00000450560;ENSP00000476468;ENSP00000477199;ENSP00000477359;ENSP00000477501	1.174601473	0.141521158
F5H2N6;Q9HCI6-2;Q9HCI6	Uncharacterized protein KIAA1586	KIAA1586	ENSG00000168116	ENSP00000359768;ENSP00000445507	1.879920444	0.03962022
F5H442;Q99816	Tumor susceptibility gene 101 protein	TSG101	ENSG00000074319	ENSP00000251968;ENSP00000438471;ENSP00000463213;ENSP00000464386	4.758949731	0.00018231
F5H6I7;Q6DD88;F5GWF8	Atlastin-3	ATL3	ENSG00000184743	ENSP00000381844;ENSP00000437593;ENSP00000441842	2.190318173	0.022251426
G3V1U5;F5H6U7;Q9Y3E0	Vesicle transport protein GOT1B	GOLT1B	ENSG00000111711	ENSP00000229314;ENSP00000437351;ENSP00000440666;ENSP00000441878;ENSP00000446231;ENSP00000446405;ENSP00000486919	5.554314929	4.32E-05
J3KPD6;F6SF04;P08631-2;P08631;H0Y3C5;P08631-3;P08631-4	Non-specific protein-tyrosine kinase;Tyrosine-protein kinase HCK	HCK	ENSG00000101336	ENSP00000262651;ENSP00000365012;ENSP00000365022;ENSP00000420457;ENSP00000427757;ENSP00000429848;ENSP00000441169;ENSP00000444986;ENSP00000486627	6.11189313	1.69E-05
F6XSS0;P18577;P18577-9;Q5VSJ8;E7EU00;P18577-8;P18577-7;P18577-11;P18577-2;P18577-5;P18577-6;E7EQ47;P18577-14;P18577-4;P18577-10	Blood group Rh(CE) polypeptide	RHCE	ENSG00000188672	ENSP00000243186;ENSP00000294413;ENSP00000311185;ENSP00000334570;ENSP00000344485;ENSP00000345084;ENSP00000363472;ENSP00000415417;ENSP00000431741;ENSP00000435401	3.588002311	0.001668434
F8VPD4;P27708	CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase	CAD	ENSG00000084774	ENSP00000264705;ENSP00000384510;ENSP00000388740;ENSP00000405416;ENSP00000414742	2.798514235	0.006946154
F8VVM2;Q00325-2;Q00325;F8VZL5;F8VWR4;F8VWQ0	Phosphate carrier protein, mitochondrial	SLC25A3	ENSG00000075415	ENSP00000188376;ENSP00000228318;ENSP00000383898;ENSP00000447310;ENSP00000447339;ENSP00000447740;ENSP00000448708;ENSP00000448969;ENSP00000449009;ENSP00000449166;ENSP00000449479;ENSP00000449793	4.696495029	0.000204627
F8VWE0		TSPAN31	ENSG00000135452	ENSP00000257910;ENSP00000446482;ENSP00000448209;ENSP00000449131;ENSP00000449199;ENSP00000449312;ENSP00000450195	2.428299843	0.014209612
F8VXF0;O60285	NUAK family SNF1-like kinase 1	NUAK1	ENSG00000074590	ENSP00000261402;ENSP00000446873;ENSP00000448288;ENSP00000449990	3.980532131	0.000803581
F8VY04;F8W1A4;P54819-6;P54819-5;P54819-2;P54819	Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed	AK2	ENSG00000004455	ENSP00000346921;ENSP00000362548;ENSP00000446849;ENSP00000447082;ENSP00000449003;ENSP00000450008;ENSP00000450109;ENSP00000486342;ENSP00000486507	7.318825204	1.99E-06
F8W7Q4;Q96A26;E9PH05	Protein FAM162A	FAM162A	ENSG00000114023	ENSP00000232125;ENSP00000419088;ENSP00000419491	3.646425713	0.00152803
F8W7T0;Q9UGI8-2;Q9UGI8	Testin	TES	ENSG00000135269	ENSP00000350937;ENSP00000377121;ENSP00000377124;ENSP00000413002;ENSP00000420220	1.556028522	0.07159159
F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;H7C106;Q9NQC3-4;Q9NQC3-6;A0A0U1RQR6	Reticulon;Reticulon-4	RTN4	ENSG00000115310	ENSP00000322147;ENSP00000337838;ENSP00000349944;ENSP00000350365;ENSP00000378107;ENSP00000378109;ENSP00000384471;ENSP00000384825;ENSP00000385650;ENSP00000397808;ENSP00000411628	3.371878498	0.002473935
G3V3N0;G3V2I8;G3V447;Q9Y2K1-2;Q9Y2K1	Zinc finger and BTB domain-containing protein 1	ZBTB1	ENSG00000126804	ENSP00000351587;ENSP00000450689;ENSP00000451000;ENSP00000451332;ENSP00000451584	8.824045563	1.71E-07
G3V2K7;P49755	Transmembrane emp24 domain-containing protein 10	TMED10	ENSG00000170348	ENSP00000303145;ENSP00000450726	5.898126833	2.42E-05
G3V3J9;G3V2N0;P59768;G3V2C9;G3V415	Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	ENSG00000186469	ENSP00000334448;ENSP00000450586;ENSP00000450758;ENSP00000450904;ENSP00000451102;ENSP00000451231;ENSP00000451279;ENSP00000451536;ENSP00000451576;ENSP00000452014;ENSP00000484021	2.147680907	0.023781133
G3V4E1;P23743-3;P23743	Diacylglycerol kinase;Diacylglycerol kinase alpha	DGKA	ENSG00000065357	ENSP00000328405;ENSP00000377703;ENSP00000385792;ENSP00000402307;ENSP00000446515;ENSP00000446605;ENSP00000447050;ENSP00000447460;ENSP00000448565;ENSP00000449178;ENSP00000449923;ENSP00000450359;ENSP00000450608;ENSP00000450977;ENSP00000450999;ENSP00000451266;ENSP00000451330;ENSP00000451518;ENSP00000451743;ENSP00000451814;ENSP00000452353	3.704136217	0.001375168
G3XAL9;P55011-3;P55011	Solute carrier family 12 member 2	SLC12A2	ENSG00000064651	ENSP00000262461;ENSP00000340878;ENSP00000427109;ENSP00000486323	1.465644741	0.085260491
G3XAM7;P35221;P35221-2;P35221-3;E5RGG4;E5RJ43;E5RGS1;A0A087WZL6;E5RGU3;E5RHJ5;E5RFG3;E5RFK9;E5RFM5;E5RJP7;E5RGD2;E5RJ41;E5RIB1;A0A0A0MTJ6;A0A0A0MRI5;P26232-4;P26232-6;P26232-3;P26232-2;P26232-5;P26232	Catenin alpha-1	CTNNA1	ENSG00000066032;ENSG00000044115	ENSP00000341500;ENSP00000355398;ENSP00000384638;ENSP00000386587;ENSP00000387073;ENSP00000387232;ENSP00000400105;ENSP00000418191;ENSP00000419295;ENSP00000441705;ENSP00000444675;ENSP00000486160;ENSP00000304669;ENSP00000427821;ENSP00000428044;ENSP00000428049;ENSP00000428088;ENSP00000428202;ENSP00000428439;ENSP00000428686;ENSP00000428710;ENSP00000428894;ENSP00000429103;ENSP00000429142;ENSP00000429457;ENSP00000429569;ENSP00000429636;ENSP00000429738;ENSP00000430076;ENSP00000430078;ENSP00000430177;ENSP00000430240;ENSP00000430304;ENSP00000430379;ENSP00000430623;ENSP00000430626;ENSP00000430671;ENSP00000430841;ENSP00000430981;ENSP00000431033;ENSP00000431118;ENSP00000438476;ENSP00000482738;ENSP00000486200	2.761106155	0.007462141
H0Y2M6;P51798-2;P51798;H3BNG8;I3L470	H(+)/Cl(-) exchange transporter 7	CLCN7	ENSG00000103249	ENSP00000262318;ENSP00000372193;ENSP00000410907;ENSP00000454845;ENSP00000461009	1.607492782	0.065442582
H0Y448;Q8WZ74	Cortactin-binding protein 2	CTTNBP2	ENSG00000077063	ENSP00000160373;ENSP00000389491;ENSP00000389576;ENSP00000393373;ENSP00000395925;ENSP00000396014;ENSP00000397678;ENSP00000405831;ENSP00000406142	1.047999471	0.176839612
H0Y704;H7BZT5;O15231-5;O15231-4;O15231-7;O15231;O15231-3;O15231-8;O15231-6	Zinc finger protein 185	ZNF185	ENSG00000147394	ENSP00000312782;ENSP00000313919;ENSP00000325307;ENSP00000359291;ENSP00000359293;ENSP00000391272;ENSP00000392984;ENSP00000395228;ENSP00000401766;ENSP00000409121;ENSP00000440847;ENSP00000444367	0.582235953	0.398421544
H0Y784;Q9UHG0	Doublecortin domain-containing protein 2	DCDC2	ENSG00000146038	ENSP00000367711;ENSP00000367715;ENSP00000410939	7.546548062	1.52E-06
H0Y7P8;Q96RL7-4;Q96RL7-2;Q96RL7-3;Q96RL7	Vacuolar protein sorting-associated protein 13A	VPS13A	ENSG00000197969	ENSP00000349985;ENSP00000353422;ENSP00000365821;ENSP00000365823;ENSP00000365834;ENSP00000414410;ENSP00000437478;ENSP00000441840;ENSP00000446020	2.887404515	0.005885198
H0Y870;H0Y861;Q8TDQ4;Q5SSC2;Q9H0R3-2;Q9H0R3	Transmembrane protein 222	TMEM222	ENSG00000186501	ENSP00000363189;ENSP00000417603;ENSP00000417720;ENSP00000417853;ENSP00000419292;ENSP00000419528;ENSP00000419878;ENSP00000476439;ENSP00000483276	4.406900619	0.000362196
H0Y8T0;Q9BSU3	N-alpha-acetyltransferase 11	NAA11	ENSG00000156269	ENSP00000286794;ENSP00000422022	3.582959303	0.001680986
H0Y8X4;O43598-2;O43598	2-deoxynucleoside 5-phosphate N-hydrolase 1	DNPH1	ENSG00000112667	ENSP00000230431;ENSP00000377556;ENSP00000422440	1.762158607	0.049277706
H0YBC7;O60238-2;O60238;F6RP06;A0A0J9YW18;Q12983	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	BNIP3L	ENSG00000104765;ENSG00000176171	ENSP00000370003;ENSP00000428597;ENSP00000428919;ENSP00000429171;ENSP00000429698;ENSP00000429851;ENSP00000479522;ENSP00000357625;ENSP00000446145	5.448040901	5.23E-05
